,Word,salet guesschain,salet reductions,salet score,reast guesschain,reast reductions,reast score,crate guesschain,crate reductions,crate score,trace guesschain,trace reductions,trace score,slate guesschain,slate reductions,slate score,crane guesschain,crane reductions,crane score,word1,word2,word3,word4,word5
163,loser,salet loser,1,2,reast loser,2,2,crate fewer loper loser,21,4,trace fewer loper loser,21,4,slate loser,1.0,2,crane reest loser,20,3,l,o,s,e,r
164,input,salet input,7,2,reast input,8,2,crate snout input,17,3,trace month input,25,3,slate input,11.0,2,crane input,12,2,i,n,p,u,t
165,gloat,salet aloft gloat,5,3,reast fault gloat,8,3,crate aloft gloat,14,3,trace fatly gloat,13,3,slate aloft gloat,5.0,3,crane aloft gloat,27,3,g,l,o,a,t
166,awful,salet aloud awful,12,3,reast cahow awful,24,3,crate aloud awful,18,3,trace aloud awful,18,3,slate lairy awful,12.0,3,crane aloft awful,27,3,a,w,f,u,l
167,brink,salet monic brink,37,3,reast droop brink,20,3,crate drink brink,9,3,trace drink brink,9,3,slate monic brink,37.0,3,crane brink,4,2,b,r,i,n,k
168,smite,salet smite,3,2,reast smite,3,2,crate smite,2,2,trace smite,3,2,slate smite,1.0,2,crane dobie smite,20,3,s,m,i,t,e
169,beady,salet ahead beady,13,3,reast beach beady,4,3,crate beady,1,2,trace beady,1,2,slate beady,2.0,2,crane beady,2,2,b,e,a,d,y
170,rusty,salet rusty,3,2,reast rusty,1,2,crate girth rusty,3,3,trace robot rusty,5,3,slate rusty,1.0,2,crane lirot rusty,16,3,r,u,s,t,y
171,retro,salet their retro,18,3,reast retro,1,2,crate inert retro,8,3,trace inter retro,8,3,slate inert retro,13.0,3,crane reest retro,20,3,r,e,t,r,o
172,droll,salet clour droll,17,3,reast droop droll,19,3,crate drink droll,9,3,trace drink droll,9,3,slate could droll,7.0,3,crane drips droll,7,3,d,r,o,l,l
173,gawky,salet carny gawky,18,3,reast cahow gawky,24,3,crate aloud gawky,19,3,trace aloud gawky,19,3,slate carny gawky,25.0,3,crane aloft gawky,30,3,g,a,w,k,y
174,hutch,salet youth hutch,12,3,reast month hutch,10,3,crate hutch,3,2,trace hutch,2,2,slate input hutch,12.0,3,crane flock hutch,7,3,h,u,t,c,h
175,pinto,salet youth pinto,12,3,reast month pinto,10,3,crate month pinto,8,3,trace month pinto,23,3,slate month pinto,8.0,3,crane input pinto,13,3,p,i,n,t,o
176,egret,salet egret,1,2,reast crept egret,4,3,crate inert egret,8,3,trace inter egret,8,3,slate inert egret,13.0,3,crane reest egret,20,3,e,g,r,e,t
177,lilac,salet allow lilac,4,3,reast cahow lilac,24,3,crate havoc lilac,5,3,trace cacao lilac,9,3,slate lairy lilac,12.0,3,crane tacit lilac,6,3,l,i,l,a,c
178,sever,salet sever,1,2,reast sever,1,2,crate fewer sever,16,3,trace fewer sever,16,3,slate sever,1.0,2,crane reest sever,20,3,s,e,v,e,r
179,field,salet elfin field,7,3,reast dicey field,30,3,crate dopey field,17,3,trace dopey field,17,3,slate leery field,9.0,3,crane eisel field,19,3,f,i,e,l,d
180,fluff,salet clour bluff fluff,19,4,reast could bluff fluff,35,4,crate fonly fluff,30,3,trace fonly fluff,30,3,slate floor fluff,12.0,3,crane flout fluff,36,3,f,l,u,f,f
181,agape,salet ahead agape,13,3,reast agape,3,2,crate pease agape,7,3,trace pease agape,7,3,slate frame agape,7.0,3,crane etape agape,9,3,a,g,a,p,e
182,voice,salet dogie voice,32,3,reast dicey voice,29,3,crate mince voice,4,3,trace mince voice,4,3,slate dogie voice,24.0,3,crane twice voice,3,3,v,o,i,c,e
183,stead,salet stead,1,2,reast saute stead,4,3,crate asset stead,6,3,trace asset stead,6,3,slate stead,1.0,2,crane asset stead,12,3,s,t,e,a,d
184,berth,salet their berth,18,3,reast berth,1,2,crate berth,1,2,trace inter berth,8,3,slate berth,3.0,2,crane reest berth,20,3,b,e,r,t,h
185,madam,salet carny madam,17,3,reast cahow manly madam,28,4,crate aloud dandy madam,20,4,trace aloud dandy madam,20,4,slate carny madam,24.0,3,crane aloft gawky madam,31,4,m,a,d,a,m
186,night,salet input night,8,3,reast input night,9,3,crate snout night,17,3,trace month night,23,3,slate input night,12.0,3,crane input night,13,3,n,i,g,h,t
187,bland,salet aloud bland,12,3,reast black bland,5,3,crate shall bland,6,3,trace shall bland,6,3,slate black bland,4.0,3,crane bland,3,2,b,l,a,n,d
188,liver,salet elder liver,8,3,reast prime infer liver,21,4,crate fewer loper liver,21,4,trace fewer loper liver,21,4,slate leery liver,9.0,3,crane reest poker liver,25,4,l,i,v,e,r
189,wedge,salet dogie judge wedge,34,4,reast denim wedge,8,3,crate dogie judge wedge,20,4,trace dogie judge wedge,20,4,slate dogie judge wedge,26.0,4,crane dobie judge wedge,22,4,w,e,d,g,e
190,roomy,salet monic roomy,36,3,reast robin roomy,3,3,crate fiord roomy,13,3,trace fiord roomy,13,3,slate monic roomy,36.0,3,crane lirot roomy,16,3,r,o,o,m,y
191,wacky,salet carny wacky,17,3,reast cahow wacky,24,3,crate havoc wacky,5,3,trace cacao wacky,9,3,slate carny wacky,24.0,3,crane tacit wacky,6,3,w,a,c,k,y
192,flock,salet clour flock,17,3,reast could flock,33,3,crate flock,5,2,trace cinch flock,5,3,slate floor flock,12.0,3,crane flock,6,2,f,l,o,c,k
193,angry,salet acorn angry,15,3,reast favor angry,13,3,crate manor angry,16,3,trace manor angry,16,3,slate carny angry,24.0,3,crane apron angry,5,3,a,n,g,r,y
194,trite,salet their trice trite,20,4,reast trice trite,9,3,crate trite,1,2,trace trope trite,4,3,slate chute trite,4.0,3,crane trope trite,9,3,t,r,i,t,e
195,aphid,salet acorn aphid,15,3,reast cahow aphid,24,3,crate aloud aphid,18,3,trace aloud aphid,18,3,slate carny aphid,25.0,3,crane aloft aphid,27,3,a,p,h,i,d
196,tryst,salet moist tryst,5,3,reast tryst,1,2,crate tryst,1,2,trace tryst,1,2,slate moist tryst,7.0,3,crane drips tryst,7,3,t,r,y,s,t
197,midge,salet dogie midge,32,3,reast dicey field midge,31,4,crate dogie midge,18,3,trace dogie midge,18,3,slate dogie midge,24.0,3,crane dobie midge,20,3,m,i,d,g,e
198,power,salet fewer power,16,3,reast prime poker power,21,4,crate fewer power,16,3,trace fewer power,16,3,slate remen poker power,27.0,4,crane reest poker power,25,4,p,o,w,e,r
199,elope,salet elfin elope,7,3,reast dicey bloke elope,32,4,crate dogie bloke elope,21,4,trace dogie bloke elope,21,4,slate bloke elope,4.0,3,crane dobie spoke elope,24,4,e,l,o,p,e
200,cinch,salet monic cinch,36,3,reast could cinch,34,3,crate child cinch,9,3,trace cinch,4,2,slate monic cinch,36.0,3,crane cinch,4,2,c,i,n,c,h
201,motto,salet youth motto,12,3,reast month motto,10,3,crate month motto,8,3,trace month motto,23,3,slate month motto,8.0,3,crane flout motto,36,3,m,o,t,t,o
202,stomp,salet stogy stomp,6,3,reast coits stomp,6,3,crate snout stomp,17,3,trace month stomp,23,3,slate snout stomp,8.0,3,crane flout photo stomp,38,4,s,t,o,m,p
203,upset,salet onset upset,3,3,reast onset upset,5,3,crate denet upset,11,3,trace sweet onset upset,15,4,slate chest onset upset,8.0,4,crane eisel upset,18,3,u,p,s,e,t
204,bluff,salet clour bluff,18,3,reast could bluff,34,3,crate fonly bluff,30,3,trace fonly bluff,30,3,slate floor bluff,12.0,3,crane flout bluff,36,3,b,l,u,f,f
205,cramp,salet acorn cramp,15,3,reast braid cramp,8,3,crate cramp,2,2,trace cramp,2,2,slate charm cramp,8.0,3,crane cramp,1,2,c,r,a,m,p
206,quart,salet quart,4,2,reast quart,2,2,crate quart,3,2,trace quart,2,2,slate quart,6.0,2,crane stair quart,7,3,q,u,a,r,t
207,coyly,salet clour coyly,17,3,reast could coyly,33,3,crate child coyly,9,3,trace could coyly,10,3,slate could coyly,7.0,3,crane could coyly,4,3,c,o,y,l,y
208,youth,salet youth,11,2,reast month youth,10,3,crate month youth,8,3,trace month youth,23,3,slate month youth,8.0,3,crane flout youth,36,3,y,o,u,t,h
209,rhyme,salet dogie rhyme,32,3,reast rhyme,3,2,crate burse rhyme,6,3,trace burse rhyme,6,3,slate dogie rhyme,25.0,3,crane emure rhyme,7,3,r,h,y,m,e
210,buggy,salet monic buggy,36,3,reast could fungi buggy,37,4,crate fonly buggy,31,3,trace fonly buggy,31,3,slate monic buggy,36.0,3,crane flout buggy,37,3,b,u,g,g,y
211,alien,salet alien,1,2,reast algae alien,14,3,crate almes alien,10,3,trace almes alien,10,3,slate clean alien,4.0,3,crane alien,3,2,a,l,i,e,n
212,smear,salet shake smear,7,3,reast smear,1,2,crate amber smear,6,3,trace amber smear,6,3,slate smear,2.0,2,crane amber smear,9,3,s,m,e,a,r
213,unfit,salet input unfit,8,3,reast input unfit,9,3,crate snout unfit,17,3,trace month input unfit,26,4,slate input unfit,12.0,3,crane input unfit,13,3,u,n,f,i,t
214,patty,salet catch patty,5,3,reast cital patty,11,3,crate nasty patty,4,3,trace fatly patty,13,3,slate aorta patty,3.0,3,crane aloft patty,28,3,p,a,t,t,y
215,cling,salet clour cling,17,3,reast could cling,33,3,crate child cling,9,3,trace could cling,10,3,slate floor cling,13.0,3,crane chunk cling,3,3,c,l,i,n,g
216,glean,salet clade glean,8,3,reast algae glean,14,3,crate almes glean,10,3,trace almes glean,10,3,slate clean glean,4.0,3,crane alien glean,4,3,g,l,e,a,n
217,label,salet label,1,2,reast algae label,14,3,crate almes label,10,3,trace almes label,10,3,slate equal label,4.0,3,crane asset label,12,3,l,a,b,e,l
218,hunky,salet monic hunky,36,3,reast could fungi hunky,37,4,crate fonly hunky,30,3,trace fonly hunky,30,3,slate monic hunky,36.0,3,crane input hunky,13,3,h,u,n,k,y
219,khaki,salet acorn khaki,15,3,reast black khaki,5,3,crate shall khaki,6,3,trace shall khaki,6,3,slate charm khaki,8.0,3,crane shall khaki,5,3,k,h,a,k,i
220,poker,salet fewer homer poker,19,4,reast prime poker,20,3,crate fewer loper poker,21,4,trace fewer loper poker,21,4,slate remen poker,26.0,3,crane reest poker,24,3,p,o,k,e,r
221,gruel,salet elder gruel,8,3,reast prime gruel,19,3,crate gruel,1,2,trace gruel,1,2,slate leery gruel,9.0,3,crane gruel,1,2,g,r,u,e,l
222,twice,salet their twice,19,3,reast cheth twice,8,3,crate twice,1,2,trace twice,1,2,slate trice twice,9.0,3,crane twice,2,2,t,w,i,c,e
223,twang,salet aorta twang,7,3,reast twang,1,2,crate plant twang,3,3,trace twang,1,2,slate quart twang,7.0,3,crane bland twang,4,3,t,w,a,n,g
224,shrug,salet scorn shrug,7,3,reast scorn shrug,5,3,crate fiord shrug,13,3,trace fiord shrug,13,3,slate scorn shrug,7.0,3,crane lirot shrug,16,3,s,h,r,u,g
225,treat,salet avert treat,3,3,reast avert treat,3,3,crate treat,1,2,trace treat,1,2,slate acted treat,6.0,3,crane dream treat,3,3,t,r,e,a,t
226,waste,salet waste,1,2,reast saute waste,4,3,crate saute waste,3,3,trace saute waste,4,3,slate waste,1.0,2,crane pause waste,10,3,w,a,s,t,e
227,merit,salet crept merit,7,3,reast merit,1,2,crate inert merit,8,3,trace inter merit,8,3,slate inert merit,13.0,3,crane reest merit,20,3,m,e,r,i,t
228,woven,salet fewer woken woven,18,4,reast dicey woken woven,31,4,crate dopey woken woven,19,4,trace dopey woken woven,19,4,slate remen woken woven,26.0,4,crane doven woven,12,3,w,o,v,e,n
229,needy,salet dogie needy,32,3,reast denim needy,8,3,crate dopey needy,17,3,trace dopey needy,17,3,slate remen needy,24.0,3,crane doven needy,12,3,n,e,e,d,y
230,clown,salet clour clown,17,3,reast could clown,33,3,crate child clown,9,3,trace could clown,10,3,slate floor blown clown,14.0,4,crane cinch clown,5,3,c,l,o,w,n
231,irony,salet monic irony,36,3,reast droop irony,19,3,crate drink irony,9,3,trace drink irony,9,3,slate monic irony,36.0,3,crane brink irony,5,3,i,r,o,n,y
232,ruder,salet fewer homer ruder,19,4,reast rhyme ruder,4,3,crate fewer loper ruder,21,4,trace fewer loper ruder,21,4,slate remen ruder,24.0,3,crane reest ruder,20,3,r,u,d,e,r
233,gauze,salet badge gauze,5,3,reast algae badge gauze,16,4,crate pause gauze,9,3,trace pause gauze,9,3,slate abune gauze,6.0,3,crane pause gauze,10,3,g,a,u,z,e
234,chief,salet fewer chief,16,3,reast dicey chief,29,3,crate cheek chief,3,3,trace cheek chief,5,3,slate remen chief,24.0,3,crane cheek chief,4,3,c,h,i,e,f
235,onset,salet onset,2,2,reast onset,4,2,crate denet onset,11,3,trace sweet onset,14,3,slate chest onset,7.0,3,crane doven onset,12,3,o,n,s,e,t
236,prize,salet dogie mince prize,37,4,reast prime prize,19,3,crate prime prize,7,3,trace prime prize,7,3,slate dogie mince prize,29.0,4,crane trope prime prize,11,4,p,r,i,z,e
237,fungi,salet monic fungi,36,3,reast could fungi,36,3,crate fonly fungi,30,3,trace fonly fungi,30,3,slate monic fungi,36.0,3,crane input fungi,13,3,f,u,n,g,i
238,charm,salet acorn charm,15,3,reast braid charm,7,3,crate charm,1,2,trace charm,1,2,slate charm,7.0,2,crane charm,1,2,c,h,a,r,m
239,gully,salet gully,1,2,reast could gully,33,3,crate fonly gully,30,3,trace fonly gully,30,3,slate could gully,7.0,3,crane flout gully,36,3,g,u,l,l,y
240,inter,salet inter,2,2,reast trice inter,9,3,crate inert inter,8,3,trace inter,7,2,slate inert inter,13.0,3,crane inert inter,5,3,i,n,t,e,r
241,whoop,salet monic proxy whoop,38,4,reast could whoop,33,3,crate fonly whoop,30,3,trace fonly whoop,30,3,slate monic proxy whoop,38.0,4,crane flout showy whoop,38,4,w,h,o,o,p
242,taunt,salet tacit taunt,3,3,reast fault taunt,8,3,crate aloft saint taunt,16,4,trace tangy taunt,5,3,slate cagot taunt,9.0,3,crane saint taunt,3,3,t,a,u,n,t
243,leery,salet elfin leery,7,3,reast fewer leery,4,3,crate fewer leery,16,3,trace fewer leery,16,3,slate leery,8.0,2,crane reest leery,20,3,l,e,e,r,y
244,class,salet class,3,2,reast class,2,2,crate class,1,2,trace class,2,2,slate class,2.0,2,crane class,1,2,c,l,a,s,s
245,theme,salet their theme,18,3,reast cheth theme,8,3,crate theme,5,2,trace theme,4,2,slate trice theme,10.0,3,crane dobie theme,21,3,t,h,e,m,e
246,lofty,salet cloth lofty,3,3,reast month lofty,10,3,crate month lofty,8,3,trace month lofty,23,3,slate lofty,1.0,2,crane flout lofty,36,3,l,o,f,t,y
247,tibia,salet aorta tibia,7,3,reast cital tibia,11,3,crate aloft tangy tibia,16,4,trace tangy tibia,5,3,slate cagot tibia,9.0,3,crane aloft patty tibia,29,4,t,i,b,i,a
248,booze,salet dogie booze,32,3,reast dicey bloke booze,32,4,crate dogie booze,18,3,trace dogie booze,18,3,slate dogie booze,24.0,3,crane dobie booze,20,3,b,o,o,z,e
249,alpha,salet aloud alpha,12,3,reast cahow alpha,24,3,crate aloud alpha,18,3,trace aloud alpha,18,3,slate aloud alpha,5.0,3,crane aloft album alpha,29,4,a,l,p,h,a
250,thyme,salet their thyme,18,3,reast cheth thyme,8,3,crate theme thyme,6,3,trace theme thyme,5,3,slate trice theme thyme,11.0,4,crane dobie theme thyme,22,4,t,h,y,m,e
251,doubt,salet input doubt,8,3,reast input doubt,9,3,crate snout doubt,17,3,trace month doubt,24,3,slate input doubt,12.0,3,crane flout doubt,37,3,d,o,u,b,t
252,parer,salet baker gamer parer,6,4,reast amber parer,9,3,crate amber parer,6,3,trace amber parer,6,3,slate abeam parer,10.0,3,crane amber parer,10,3,p,a,r,e,r
253,chute,salet their chute,18,3,reast cheth chute,8,3,crate chute,1,2,trace chute,1,2,slate chute,3.0,2,crane choke chute,3,3,c,h,u,t,e
254,stick,salet stogy stick,6,3,reast coits stick,6,3,crate hutch stick,4,3,trace hutch stick,3,3,slate snout stick,7.0,3,crane flock stick,7,3,s,t,i,c,k
255,trice,salet their trice,19,3,reast trice,8,2,crate trice,1,2,trace trice,1,2,slate trice,8.0,2,crane trice,1,2,t,r,i,c,e
256,alike,salet clade alike,8,3,reast algae alike,14,3,crate pause alike,9,3,trace pause alike,9,3,slate alike,1.0,2,crane pause alike,10,3,a,l,i,k,e
257,recap,salet ahead recap,13,3,reast recap,1,2,crate recap,1,2,trace recap,1,2,slate abeam recap,10.0,3,crane recap,1,2,r,e,c,a,p
258,saint,salet saint,1,2,reast saint,1,2,crate aloft saint,15,3,trace fatly saint,13,3,slate saint,1.0,2,crane saint,2,2,s,a,i,n,t
259,glory,salet clour glory,17,3,reast droop glory,19,3,crate fiord glory,13,3,trace fiord glory,13,3,slate floor glory,12.0,3,crane lirot glory,16,3,g,l,o,r,y
260,grate,salet atone grate,4,3,reast grate,1,2,crate grate,1,2,trace grate,1,2,slate grate,1.0,2,crane brame grate,4,3,g,r,a,t,e
261,admit,salet quart admit,5,3,reast fault admit,8,3,crate aloft admit,14,3,trace fatly admit,13,3,slate cagot admit,9.0,3,crane aloft admit,27,3,a,d,m,i,t
262,brisk,salet brisk,3,2,reast brisk,1,2,crate drink brisk,9,3,trace drink brisk,9,3,slate brisk,3.0,2,crane drips brisk,7,3,b,r,i,s,k
263,soggy,salet scorn soggy,7,3,reast ikons soggy,10,3,crate fonly howdy soggy,32,4,trace fonly howdy soggy,32,4,slate scorn soggy,7.0,3,crane flout howdy soggy,38,4,s,o,g,g,y
264,usurp,salet brisk usurp,4,3,reast scorn usurp,5,3,crate fiord usurp,13,3,trace fiord usurp,13,3,slate brisk usurp,4.0,3,crane lirot usurp,16,3,u,s,u,r,p
265,scald,salet shall scald,5,3,reast scald,3,2,crate black scald,4,3,trace class scald,3,3,slate shall scald,5.0,3,crane black scald,4,3,s,c,a,l,d
266,scorn,salet scorn,6,2,reast scorn,4,2,crate scorn,2,2,trace chord scorn,4,3,slate scorn,6.0,2,crane scorn,1,2,s,c,o,r,n
267,leave,salet clade leave,8,3,reast beach leave,4,3,crate pease leave,7,3,trace pease leave,7,3,slate leave,1.0,2,crane etape leave,9,3,l,e,a,v,e
268,twine,salet their twice twine,20,4,reast cheth twine,8,3,crate theme twine,6,3,trace theme twine,5,3,slate trice twine,9.0,3,crane shine twine,3,3,t,w,i,n,e
269,sting,salet stogy sting,6,3,reast coits sting,6,3,crate snout sting,17,3,trace month input sting,26,4,slate snout sting,7.0,3,crane found sting,6,3,s,t,i,n,g
270,bough,salet monic foggy bough,40,4,reast could bough,33,3,crate fonly bough,30,3,trace fonly bough,30,3,slate monic foggy bough,40.0,4,crane flout bough,36,3,b,o,u,g,h
271,marsh,salet marsh,1,2,reast marsh,1,2,crate manor marsh,16,3,trace manor marsh,16,3,slate marsh,1.0,2,crane molar marsh,13,3,m,a,r,s,h
272,sloth,salet sloth,1,2,reast coits sloth,6,3,crate month sloth,8,3,trace month sloth,23,3,slate sloth,1.0,2,crane flout sloth,36,3,s,l,o,t,h
273,dandy,salet carny dandy,17,3,reast cahow manly dandy,28,4,crate aloud dandy,19,3,trace aloud dandy,19,3,slate carny dandy,24.0,3,crane natal dandy,6,3,d,a,n,d,y
274,vigor,salet monic vigor,36,3,reast droop humor vigor,21,4,crate fiord vigor,13,3,trace fiord vigor,13,3,slate monic vigor,36.0,3,crane lirot vigor,16,3,v,i,g,o,r
275,howdy,salet monic foggy howdy,40,4,reast could howdy,33,3,crate fonly howdy,31,3,trace fonly howdy,31,3,slate monic foggy howdy,40.0,4,crane flout howdy,37,3,h,o,w,d,y
276,enjoy,salet dogie enjoy,33,3,reast dicey enjoy,30,3,crate dopey enjoy,17,3,trace dopey enjoy,17,3,slate remen enjoy,24.0,3,crane doven enjoy,12,3,e,n,j,o,y
277,valid,salet valid,1,2,reast cahow manly valid,28,4,crate aloud valid,18,3,trace aloud valid,18,3,slate lairy valid,12.0,3,crane aloft usual valid,29,4,v,a,l,i,d
278,ionic,salet monic ionic,36,3,reast could ionic,33,3,crate flock ionic,6,3,trace could ionic,10,3,slate monic ionic,36.0,3,crane ionic,2,2,i,o,n,i,c
279,equal,salet clade equal,8,3,reast algae equal,14,3,crate almes equal,10,3,trace almes equal,10,3,slate equal,3.0,2,crane asset equal,13,3,e,q,u,a,l
280,floor,salet clour floor,17,3,reast droop floor,19,3,crate fiord floor,13,3,trace fiord floor,13,3,slate floor,11.0,2,crane lirot floor,16,3,f,l,o,o,r
281,catch,salet catch,4,2,reast cital catch,11,3,crate catch,1,2,trace catch,2,2,slate cagot catch,9.0,3,crane cacao catch,5,3,c,a,t,c,h
282,spade,salet shake scare spade,9,4,reast shake spade,4,3,crate pease spade,7,3,trace pease spade,7,3,slate shake scare spade,7.0,4,crane etape spade,9,3,s,p,a,d,e
283,stein,salet smite stein,4,3,reast smite stein,4,3,crate denet stein,11,3,trace sweet stein,13,3,slate stein,2.0,2,crane doven begin stein,14,4,s,t,e,i,n
284,exist,salet chest exist,4,3,reast chest exist,3,3,crate denet exist,12,3,trace sweet exist,14,3,slate chest exist,6.0,3,crane eisel exist,18,3,e,x,i,s,t
285,quirk,salet monic quirk,36,3,reast droop quirk,19,3,crate fiord quirk,13,3,trace fiord quirk,13,3,slate monic quirk,36.0,3,crane lirot quirk,16,3,q,u,i,r,k
286,denim,salet dogie denim,32,3,reast denim,7,2,crate dopey denim,17,3,trace dopey denim,17,3,slate remen denim,24.0,3,crane doven denim,12,3,d,e,n,i,m
287,grove,salet dogie grove,32,3,reast prime grove,19,3,crate prime grove,7,3,trace prime grove,7,3,slate dogie grove,24.0,3,crane trope grove,9,3,g,r,o,v,e
288,spiel,salet spiel,1,2,reast shine spiel,5,3,crate dopey spiel,17,3,trace dopey spiel,17,3,slate spell spiel,3.0,3,crane eisel spiel,18,3,s,p,i,e,l
289,mummy,salet monic mummy,36,3,reast could fungi mummy,37,4,crate fonly buggy mummy,32,4,trace fonly buggy mummy,32,4,slate monic mummy,36.0,3,crane flout buggy mummy,38,4,m,u,m,m,y
290,fault,salet fault,1,2,reast fault,7,2,crate aloft fault,14,3,trace fatly fault,13,3,slate aptly fault,5.0,3,crane aloft fault,27,3,f,a,u,l,t
291,foggy,salet monic foggy,39,3,reast could foggy,33,3,crate fonly foggy,30,3,trace fonly foggy,30,3,slate monic foggy,39.0,3,crane flout foggy,36,3,f,o,g,g,y
292,flout,salet flout,2,2,reast input flout,9,3,crate snout flout,17,3,trace month flout,23,3,slate flout,1.0,2,crane flout,35,2,f,l,o,u,t
293,carry,salet carny carry,17,3,reast favor carry,14,3,crate cargo carry,3,3,trace cargo carry,4,3,slate carny carry,24.0,3,crane cargo carry,3,3,c,a,r,r,y
294,sneak,salet shake sneak,7,3,reast askew sneak,3,3,crate almes sneak,10,3,trace almes sneak,10,3,slate smear sneak,3.0,3,crane alien sneak,4,3,s,n,e,a,k
295,libel,salet elder impel libel,10,4,reast dicey libel,29,3,crate dopey libel,17,3,trace dopey libel,17,3,slate leery libel,9.0,3,crane eisel libel,18,3,l,i,b,e,l
296,waltz,salet waltz,1,2,reast cital waltz,11,3,crate nasty waltz,4,3,trace fatly waltz,13,3,slate waltz,1.0,2,crane aloft waltz,27,3,w,a,l,t,z
297,aptly,salet aptly,3,2,reast cital aptly,11,3,crate aloft aptly,14,3,trace fatly aptly,13,3,slate aptly,4.0,2,crane aloft aptly,27,3,a,p,t,l,y
298,piney,salet fewer money piney,18,4,reast dicey piney,29,3,crate dopey piney,17,3,trace dopey piney,17,3,slate remen piney,24.0,3,crane doven piney,12,3,p,i,n,e,y
299,inept,salet crept inept,7,3,reast eject inept,3,3,crate denet inept,11,3,trace sweet inept,13,3,slate inert inept,13.0,3,crane doven inept,12,3,i,n,e,p,t
300,aloud,salet aloud,11,2,reast cahow aloud,24,3,crate aloud,17,2,trace aloud,17,2,slate aloud,4.0,2,crane aloft aloud,27,3,a,l,o,u,d
301,photo,salet youth photo,12,3,reast month photo,10,3,crate month photo,8,3,trace month photo,23,3,slate month photo,8.0,3,crane flout photo,37,3,p,h,o,t,o
302,dream,salet ahead dream,13,3,reast amber dream,9,3,crate dream,1,2,trace dream,1,2,slate abeam dream,10.0,3,crane dream,2,2,d,r,e,a,m
303,stale,salet slate stale,3,3,reast slate stale,3,3,crate stale,2,2,trace slate stale,3,3,slate stale,1.0,2,crane etape stale,9,3,s,t,a,l,e
304,begin,salet dogie begin,32,3,reast denim begin,8,3,crate dopey begin,18,3,trace dopey begin,18,3,slate remen begin,24.0,3,crane doven begin,13,3,b,e,g,i,n
305,spell,salet spell,1,2,reast shine spell,5,3,crate dopey spell,17,3,trace dopey spell,17,3,slate spell,2.0,2,crane eisel spell,18,3,s,p,e,l,l
306,rainy,salet carny rainy,17,3,reast rainy,3,2,crate manor rainy,16,3,trace manor rainy,16,3,slate carny rainy,24.0,3,crane rainy,1,2,r,a,i,n,y
307,unite,salet their unite,18,3,reast cheth unite,8,3,crate smite unite,3,3,trace smite unite,4,3,slate chute unite,4.0,3,crane hinge unite,4,3,u,n,i,t,e
308,medal,salet clade medal,8,3,reast medal,1,2,crate almes medal,10,3,trace almes medal,10,3,slate equal medal,4.0,3,crane asset equal medal,14,4,m,e,d,a,l
309,valet,salet valet,1,2,reast pleat valet,3,3,crate asset valet,6,3,trace asset valet,6,3,slate metal valet,3.0,3,crane asset valet,12,3,v,a,l,e,t
310,inane,salet ahead brave inane,16,4,reast agape chafe inane,6,4,crate pease inane,7,3,trace pease inane,7,3,slate frame agape inane,8.0,4,crane inane,1,2,i,n,a,n,e
311,maple,salet maple,1,2,reast algae maple,14,3,crate pause maple,9,3,trace pause maple,9,3,slate ample maple,3.0,3,crane pause maple,10,3,m,a,p,l,e
312,snarl,salet shall snarl,5,3,reast shard snarl,3,3,crate hoard snarl,5,3,trace hoard snarl,5,3,slate shall snarl,5.0,3,crane snarl,1,2,s,n,a,r,l
313,baker,salet baker,3,2,reast amber baker,9,3,crate amber baker,6,3,trace amber baker,6,3,slate abeam baker,10.0,3,crane amber baker,9,3,b,a,k,e,r
314,there,salet their there,18,3,reast trice there,9,3,crate there,1,2,trace there,1,2,slate trice there,9.0,3,crane emure there,7,3,t,h,e,r,e
315,glyph,salet clour glyph,17,3,reast could glyph,33,3,crate fonly glyph,30,3,trace fonly glyph,30,3,slate floor cling glyph,14.0,4,crane flout glyph,36,3,g,l,y,p,h
316,avert,salet avert,2,2,reast avert,2,2,crate avert,3,2,trace avert,2,2,slate acted avert,6.0,3,crane amber avert,9,3,a,v,e,r,t
317,brave,salet ahead brave,15,3,reast brave,2,2,crate brave,2,2,trace brave,2,2,slate frame brave,6.0,3,crane brame brave,4,3,b,r,a,v,e
318,axiom,salet acorn axiom,15,3,reast cahow axiom,24,3,crate aloud axiom,18,3,trace aloud axiom,18,3,slate carny aphid axiom,26.0,4,crane aloft axiom,27,3,a,x,i,o,m
319,prime,salet dogie mince prime,37,4,reast prime,18,2,crate prime,6,2,trace prime,6,2,slate dogie mince prime,29.0,4,crane trope prime,10,3,p,r,i,m,e
320,drive,salet dogie drive,32,3,reast prime brine drive,21,4,crate prime brine drive,9,4,trace prime brine drive,9,4,slate dogie drive,24.0,3,crane trope drive,9,3,d,r,i,v,e
321,feast,salet feast,1,2,reast feast,1,2,crate feast,1,2,trace feast,1,2,slate feast,1.0,2,crane beady feast,3,3,f,e,a,s,t
322,itchy,salet youth itchy,12,3,reast month itchy,10,3,crate hutch itchy,4,3,trace cloth itchy,3,3,slate input itchy,12.0,3,crane flock itchy,7,3,i,t,c,h,y
323,clean,salet clade clean,8,3,reast algae clean,14,3,crate clean,1,2,trace clean,1,2,slate clean,3.0,2,crane clean,1,2,c,l,e,a,n
324,happy,salet carny gawky happy,19,4,reast cahow happy,24,3,crate aloud gawky happy,20,4,trace aloud gawky happy,20,4,slate carny gawky happy,26.0,4,crane aloft gawky happy,31,4,h,a,p,p,y
