,Word,RepeatN,WordCharacter,salet Topics,reast Topics,crate Topics,trace Topics,slate Topics,crane Topics,salet Description,reast Description,crate Description,trace Description,slate Description,crane Description,salet Attitude,reast Attitude,crate Attitude,trace Attitude,slate Attitude,crane Attitude
155,goose,1,VBP,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4545921,0.4545921,0.45731455,0.44154364,0.4545921,0.4490705
156,float,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45180652,0.42510408,0.45180652,0.4394608,0.45180652,0.44713756
157,donor,1,NN,species,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
158,atone,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46313983,0.46313983,0.46313983,0.4512561,0.46313983,0.4588719
159,primo,0,NN,place,place,species,species,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46313983,0.46313983,0.44883984,0.43619347,0.46313983,0.44039848
160,apron,0,VBP,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43897042,0.4631398,0.4512561,0.4631398,0.4588719
161,blown,0,VBN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.40758342,0.3939218,0.4241225,0.41550735,0.4226967,0.42201626
162,cacao,2,NNS,place,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
163,loser,0,RBR,place,place,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43437365,0.43437365,0.39799398,0.39103684,0.43437365,0.4246287
164,input,0,NN,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
165,gloat,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43675643,0.4631398,0.4512561,0.4631398,0.4588719
166,awful,0,JJ,place,place,species,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4578143,0.4578143,0.4578143,0.44348145,0.4578143,0.44856673
167,brink,0,NN,place,place,species,species,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44169223,0.44169223,0.42242315,0.41137055,0.44169223,0.4368818
168,smite,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
169,beady,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45216036,0.48187557,0.4631398,0.4512561,0.4631398,0.4588719
170,rusty,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44165796,0.44165796,0.4371912,0.42643985,0.44165796,0.43456098
171,retro,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4681219,0.48195985,0.47879675,0.46523637,0.47879675,0.4781776
172,droll,1,NN,place,place,species,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.5131376,0.5131376,0.49388635,0.47903904,0.4802499,0.4845652
173,gawky,0,NN,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.48449686,0.48449686,0.48449686,0.47260973,0.48449686,0.47702205
174,hutch,1,NN,agent,place,place,place,place,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.50750244,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
175,pinto,0,NN,agent,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.50750244,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
176,egret,1,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.45711562,0.44541085,0.45711562,0.4588719
177,lilac,1,NN,place,place,species,species,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44819066,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
178,sever,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43571144,0.43571144,0.40431333,0.3989977,0.43571144,0.43091074
179,field,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.48084316,0.4752936,0.46522504,0.4508411,0.45083615,0.47395357
180,fluff,2,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43438694,0.40261626,0.44959491,0.43731174,0.44839957,0.44164747
181,agape,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44806135,0.45904738,0.462108,0.44451603,0.47884992,0.45577574
182,voice,0,NN,agent,agent,species,agent,agent,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.49279824,0.4893898,0.49279824,0.4747021,0.49279824,0.46669596
183,stead,0,VBD,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.47968784,0.46583074,0.4631398,0.470649
184,berth,0,JJ,species,place,species,place,species,place,sport,entertainment,entertainment,sport,entertainment,entertainment,0.44478652,0.4631398,0.4631398,0.44541085,0.4631398,0.4588719
185,madam,2,NNS,place,place,place,place,place,place,entertainment,sport,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.47702205
186,night,0,NN,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46863085,0.46863085,0.46863085,0.45512298,0.46863085,0.46164605
187,bland,0,VBP,species,species,species,species,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47535533,0.47258675,0.47058925,0.45349059,0.47258675,0.4628293
188,liver,0,RB,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4587615,0.4569839,0.42222124,0.41518953,0.4229103,0.4450101
189,wedge,1,VBP,place,place,place,place,place,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44835365,0.4428065,0.44835365,0.43503755,0.44835365,0.44375247
190,roomy,1,JJ,place,agent,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46313983,0.48107642,0.46313983,0.4512561,0.46313983,0.4588719
191,wacky,0,JJ,place,place,species,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4772977,0.4772977,0.4772977,0.4624964,0.4772977,0.46844462
192,flock,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43203363,0.4631398,0.4512561,0.4611317,0.4588719
193,angry,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.41590017,0.39305526,0.41590017,0.40318736,0.41590017,0.41253114
194,trite,1,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42635813,0.44599965,0.4476784,0.4451364,0.44599965,0.45377365
195,aphid,0,NN,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
196,tryst,1,NN,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46222457,0.4631398,0.4631398,0.4512561,0.46222457,0.44039848
197,midge,0,NN,place,place,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4752936,0.4631398,0.4512561,0.4631398,0.4588719
198,power,0,NN,place,agent,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4292789,0.46262902,0.4292789,0.42360786,0.45985267,0.45608962
199,elope,1,NN,place,place,place,place,place,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.46003148,0.4631398,0.4512561,0.4631398,0.4588719
200,cinch,1,NN,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43203363,0.48263696,0.4512561,0.4631398,0.4588719
201,motto,2,NN,agent,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.50750244,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
202,stomp,0,NN,place,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4536637,0.4536637,0.4536637,0.44063368,0.4536637,0.49738923
203,upset,0,JJ,species,species,species,species,species,species,sport,sport,sport,sport,sport,sport,0.44569236,0.44569236,0.44569236,0.4419966,0.4294683,0.43934673
204,bluff,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45079854,0.4182401,0.45079854,0.4379294,0.44519043,0.44605508
205,cramp,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.5011362,0.4588719
206,quart,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
207,coyly,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43203363,0.48263696,0.4221148,0.43203363,0.42487174
208,youth,0,NN,agent,agent,place,place,place,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.50750244,0.5153285,0.5153285,0.5012701,0.5153285,0.50567627
209,rhyme,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45364088,0.4553151,0.45364088,0.44060248,0.45364088,0.44831586
210,buggy,1,JJ,species,species,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45600465,0.41874143,0.45600465,0.4425849,0.45600465,0.452102
211,alien,0,JJ,place,species,species,species,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.457962,0.46106812,0.46106812,0.44767544,0.45873946,0.45464256
212,smear,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42318174,0.44308132,0.45578602,0.4385583,0.44308132,0.44744855
213,unfit,0,JJ,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
214,patty,1,NN,species,place,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44357038,0.4631398,0.42126483,0.4512561,0.4631398,0.4588719
215,cling,0,VBG,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43679145,0.40151352,0.4470187,0.39437926,0.4331106,0.42732465
216,glean,0,JJ,species,species,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4644867,0.45464256
217,label,1,NN,agent,species,species,species,species,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47106656,0.4776515,0.4776515,0.46352544,0.4968975,0.475472
218,hunky,0,NN,place,species,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.49396214,0.4637462,0.49396214,0.4796848,0.49396214,0.48493454
219,khaki,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.46524328,0.46141765,0.44614053,0.5011362,0.45322502
220,poker,0,NN,species,agent,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4344419,0.46805245,0.4344419,0.42814162,0.4631398,0.4588719
221,gruel,0,NN,agent,agent,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47458097,0.46805245,0.4631398,0.4512561,0.43652797,0.4588719
222,twice,0,RB,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4284285,0.4486882,0.44853586,0.43796134,0.4486882,0.44148162
223,twang,0,VBD,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46313983,0.46313983,0.45884025,0.4512561,0.46313983,0.4628292
224,shrug,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43123585,0.43123585,0.43699747,0.4226956,0.43123585,0.42904088
225,treat,1,NN,place,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4310259,0.4310259,0.45832375,0.44454852,0.46230108,0.4719342
226,waste,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42230874,0.4176041,0.4176041,0.40703744,0.42230874,0.40700343
227,merit,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.49912795,0.49321997,0.490101,0.47736707,0.490101,0.4919758
228,woven,0,VBN,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45660928,0.48232898,0.47619936,0.4596356,0.4894097,0.4808294
229,needy,1,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47138453,0.47138453,0.46121335,0.44644225,0.47138453,0.46267718
230,clown,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47928146,0.4458951,0.4954986,0.43386078,0.42945987,0.47091243
231,irony,0,NN,place,place,species,species,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.48031148,0.48031148,0.46294025,0.4483766,0.48031148,0.4453896
232,ruder,1,NN,species,place,species,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4344419,0.4553151,0.4344419,0.42814162,0.4631398,0.4588719
233,gauze,0,NN,place,species,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.471031,0.47378573,0.46621624,0.45149443,0.4631398,0.4596588
234,chief,0,NN,agent,agent,place,place,agent,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44871837,0.47195423,0.47196957,0.45489866,0.47843242,0.4622378
235,onset,0,VBN,place,place,place,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.46071857,0.44774792,0.4588719
236,prize,0,NN,place,agent,place,place,species,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.5468125,0.5397001,0.5397001,0.52547026,0.5468125,0.5547546
237,fungi,0,NNS,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43203363,0.4631398,0.4512561,0.4631398,0.4588719
238,charm,0,VBP,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.50867325,0.50867325,0.5011362,0.48506632,0.5011362,0.4914963
239,gully,1,RB,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43203363,0.4631398,0.4512561,0.43203363,0.4588719
240,inter,0,JJ,place,place,place,place,place,place,entertainment,entertainment,sport,entertainment,entertainment,sport,0.45631322,0.4552808,0.4494606,0.44541085,0.4494606,0.442179
241,whoop,1,NN,species,place,place,place,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44019875,0.41564763,0.44849288,0.43510118,0.44019875,0.46223843
242,taunt,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43675643,0.4631398,0.4777577,0.4631398,0.4588719
243,leery,1,JJ,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43451774,0.4043272,0.4043272,0.39821717,0.43652797,0.4281626
244,class,1,NN,place,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45405674,0.45405674,0.45405674,0.44307682,0.45405674,0.44709277
245,theme,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.50764316,0.52700466,0.51599354,0.49920446,0.52700466,0.5163966
246,lofty,0,VBD,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4870477,0.4870477,0.4870477,0.47320262,0.48090532,0.4780285
247,tibia,1,JJ,place,place,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.49898824,0.4777577,0.4631398,0.4588719
248,booze,1,NN,place,place,place,place,place,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.46003148,0.4631398,0.4512561,0.4631398,0.4588719
249,alpha,1,NN,species,place,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47561687,0.47561687,0.47561687,0.46256545,0.47561687,0.5029861
250,thyme,0,VBD,species,place,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44478652,0.4631398,0.51599354,0.49920446,0.52700466,0.5163966
251,doubt,0,NN,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45036384,0.45036384,0.45036384,0.43635345,0.45036384,0.44431078
252,parer,1,NN,agent,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4834316,0.4834316,0.46538872,0.4631398,0.47555786
253,chute,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44478652,0.4631398,0.4631398,0.4512561,0.4631398,0.42859405
254,stick,0,JJ,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44613695,0.44613695,0.44613695,0.43324074,0.44613695,0.4403032
255,trice,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44478646,0.46313983,0.46313983,0.4512561,0.46313983,0.4588719
256,alike,0,RB,species,species,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4656557,0.4656557,0.46534646,0.450554,0.46072397,0.45833033
257,recap,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45216036,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
258,saint,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
259,glory,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.49301034,0.49301034,0.49301034,0.47623932,0.48621088,0.48477274
260,grate,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
261,admit,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42441785,0.401172,0.42441785,0.4145249,0.42441785,0.4197548
262,brisk,0,JJ,place,place,species,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4890071,0.4890071,0.47574526,0.46256056,0.4890071,0.46450397
263,soggy,1,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42488566,0.43322748,0.43184394,0.42159218,0.42488566,0.42704356
264,usurp,1,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46906438,0.44578746,0.44989073,0.43762642,0.46906438,0.44728118
265,scald,0,NN,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46141765,0.4631398,0.46524328,0.44307682,0.46141765,0.45520332
266,scorn,0,NNS,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4576751,0.4576751,0.4576751,0.43258044,0.4576751,0.45151198
267,leave,1,VBP,species,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42245138,0.43764326,0.42245138,0.41314688,0.4245524,0.41856894
268,twine,0,JJ,species,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42842847,0.4631398,0.51599354,0.49920446,0.4631398,0.48527274
269,sting,0,VBG,place,place,species,place,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4651082,0.4651082,0.4651082,0.45040652,0.4651082,0.4461537
270,bough,0,IN,place,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43203363,0.4631398,0.4512561,0.4631398,0.4588719
271,marsh,0,JJ,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
272,sloth,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
273,dandy,1,JJ,place,place,species,species,place,place,entertainment,sport,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
274,vigor,0,NN,species,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.5165299,0.4631398,0.4512561,0.4631398,0.4588719
275,howdy,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43203363,0.4631398,0.4512561,0.4631398,0.4588719
276,enjoy,0,NN,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.5058603,0.5008538,0.49148253,0.47584453,0.5058603,0.4950929
277,valid,0,JJ,place,place,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43961436,0.44467777,0.4418406,0.42692262,0.4418406,0.43595317
278,ionic,1,JJ,species,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43203363,0.4631398,0.4221148,0.4631398,0.4588719
279,equal,0,JJ,species,species,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.48964733,0.48964733,0.48964733,0.4757919,0.4851962,0.49090806
280,floor,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46149802,0.46149802,0.46149802,0.45078027,0.4611317,0.45635924
281,catch,1,NN,place,place,place,place,place,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44357038,0.44224784,0.44357038,0.43277603,0.44224784,0.43459803
282,spade,0,VBD,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.39909533,0.4472436,0.46265477,0.4489942,0.39909533,0.45758066
283,stein,0,JJ,place,place,place,place,place,agent,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47662312,0.47662312,0.47662312,0.47298375,0.47336397,0.4688456
284,exist,0,JJ,place,place,species,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4374496,0.4374496,0.4591222,0.4506257,0.4374496,0.45376554
285,quirk,0,NN,place,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
286,denim,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46313983,0.46313983,0.45114434,0.43747598,0.46313983,0.4588719
287,grove,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.46313983,0.4680525,0.4680525,0.4532785,0.46313983,0.47328103
288,spiel,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.49520612,0.45114434,0.43747595,0.4387439,0.4588719
289,mummy,2,NN,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.49910185,0.46994323,0.49064943,0.47597662,0.49910185,0.48515102
290,fault,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.43675643,0.43675643,0.43421146,0.4236698,0.45199051,0.43298662
291,foggy,1,VBD,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.43203363,0.4631398,0.4512561,0.4631398,0.4588719
292,flout,0,NN,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
293,carry,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4512218,0.42822188,0.4512218,0.43901774,0.4512218,0.44415283
294,sneak,0,VBP,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42979294,0.44837806,0.44837806,0.4360628,0.42871764,0.4389625
295,libel,1,NN,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47458097,0.46003148,0.45114434,0.43747595,0.43652797,0.4588719
296,waltz,0,NN,place,place,species,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.486223,0.49229825,0.4480128,0.4744141,0.486223,0.48090994
297,aptly,0,RB,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.48396027,0.48736402,0.48736402,0.47071585,0.48396027,0.47914347
298,piney,0,VBZ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.39367038,0.46003148,0.45114434,0.43747595,0.4631398,0.4588719
299,inept,0,JJ,place,agent,place,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4505591,0.4505591,0.4505591,0.44832897,0.44433215,0.44443977
300,aloud,0,JJ,place,place,species,place,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
301,photo,1,NN,agent,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.5541513,0.51667047,0.51667047,0.49977615,0.51667047,0.50892854
302,dream,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47562772,0.512454,0.4837741,0.46943143,0.49079266,0.4758106
303,stale,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.41599023,0.41599023,0.4212266,0.40467706,0.4212266,0.40966597
304,begin,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4618614,0.4618614,0.44740346,0.43425596,0.4618614,0.4558174
305,spell,1,VBP,place,agent,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4387439,0.465603,0.4261252,0.41408065,0.4387439,0.4308651
306,rainy,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45179823,0.45058352,0.45179823,0.43819466,0.45179823,0.4435545
307,unite,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.44478652,0.4631398,0.4631398,0.4512561,0.4631398,0.4558691
308,medal,0,JJ,species,place,place,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.52353877,0.51425725,0.52353877,0.5095285,0.5434181,0.55290794
309,valet,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.47968784,0.46583074,0.45817426,0.470649
310,inane,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47649536,0.45176253,0.45714977,0.44321012,0.47053427,0.44849738
